State,Total Cities,Total 2010 Population
Alabama,68,9559472
Alaska,30,1420462
Arizona,16,12784034
Arkansas,76,5831836
California,59,74507912
Colorado,65,10058392
Connecticut,9,7148194
Delaware,4,1795868
District of Columbia,1,601723
Florida,68,37602620
Georgia,160,19375306
Hawaii,6,2720602
Idaho,45,3135164
Illinois,103,25661264
Indiana,93,12967604
Iowa,100,6092710
Kansas,106,5706236
Kentucky,121,8678734
Louisiana,65,9066744
Maine,17,2656722
Maryland,25,11547104
Massachusetts,15,13095258
Michigan,84,19767280
Minnesota,88,10607850
Mississippi,83,5934594
Missouri,116,11977854
Montana,57,1978830
Nebraska,94,3652682
Nevada,18,5401102
New Hampshire,11,2632940
New Jersey,22,17583788
New Mexico,34,4118358
New York,63,38756204
North Carolina,101,19070966
North Dakota,54,1345182
Ohio,89,23073008
Oklahoma,78,7502702
Oregon,37,7662148
Pennsylvania,68,25404758
Rhode Island,6,2105134
South Carolina,47,9250728
South Dakota,67,1628360
Tennessee,96,12692210
Texas,255,50291122
Utah,30,5527770
Vermont,15,1251482
Virginia,134,15995826
Washington,40,13449080
West Virginia,56,3705988
Wisconsin,73,11373972
Wyoming,24,1127252
